dataset,attack,metric,direction,target_method,baseline_method,n_pairs,target_mean,baseline_mean,mean_difference_target_minus_baseline,difference_ci95_low,difference_ci95_high,paired_cohens_dz_favoring_target,exact_two_sided_p,holm_adjusted_p,holm_reject_0_05
fashionmnist,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_rfa,6,0.7397318747880837,0.7316363800610114,0.008095494727072328,-0.02857666691467852,0.044767656368823176,0.23166620970353313,0.5625,1.0,False
fashionmnist,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_fedavg,6,0.32897330775571537,0.885104505380773,-0.5561311976250576,-0.7773534186111866,-0.3349089766389286,2.6381793684386103,0.03125,0.125,False
fashionmnist,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_fltrust,6,0.32897330775571537,0.8893577514242711,-0.5603844436685558,-0.7796227755762449,-0.3411461117608666,2.682411429205189,0.03125,0.125,False
fashionmnist,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_trimmed_mean,6,0.32897330775571537,0.7999855696091607,-0.4710122618534453,-0.7020332571582225,-0.23999126654866812,2.1396196209998926,0.03125,0.125,False
fashionmnist,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_rfa,6,0.32897330775571537,0.8033165646352192,-0.4743432568795037,-0.719972692265875,-0.22871382149313238,2.026600429751699,0.03125,0.125,False
fashionmnist,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_fedavg,6,0.7515000000000001,0.6418333333333334,0.10966666666666668,-0.0026997483804049177,0.22203308171373826,1.024221592015561,0.09375,0.28125,False
fashionmnist,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_fltrust,6,0.7515000000000001,0.7431666666666666,0.00833333333333334,-0.013776327225626222,0.0304429938922929,0.39554189336431617,0.4375,0.4375,False
fashionmnist,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_trimmed_mean,6,0.7515000000000001,0.6811666666666666,0.07033333333333332,-0.02664875351752659,0.1673154201841932,0.7610715449564466,0.0625,0.25,False
fashionmnist,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_rfa,6,0.7515000000000001,0.7173333333333334,0.03416666666666668,-0.006060634870405701,0.07439396820373906,0.8913279371573682,0.125,0.28125,False
fashionmnist,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_fedavg,6,0.7255195790639909,0.610070357866404,0.11544922119758695,-0.013210274153657733,0.24410871654883165,0.9416835266780844,0.09375,0.375,False
fashionmnist,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_fltrust,6,0.7255195790639909,0.7281480429325752,-0.00262846386858423,-0.0466990299347385,0.04144210219757004,-0.06259061110607315,0.96875,0.96875,False
fashionmnist,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_trimmed_mean,6,0.7255195790639909,0.6385047823952111,0.08701479666877972,-0.04521389665239921,0.21924348998995863,0.6905946548281724,0.125,0.375,False
fashionmnist,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_rfa,6,0.7255195790639909,0.68955852001,0.03596105905399081,-0.021601909099611204,0.09352402720759281,0.6556092958750706,0.1875,0.375,False
