dataset,attack,method,metric,n,mean,sample_sd,ci95_low,ci95_high
mnist,adaptive_tierguard_aware,tierguard,clean_accuracy,6,0.9338333333333334,0.01014724921674173,0.923184448358378,0.9444822183082888
mnist,adaptive_tierguard_aware,tierguard,macro_f1,6,0.9328850037681443,0.009806422178580495,0.9225937948340756,0.9431762127022131
mnist,adaptive_tierguard_aware,tierguard,attack_success_rate,6,0.2982256430219233,0.3082966959351478,-0.025311897354596324,0.6217631833984429
mnist,backdoor_model_replacement,hfl_fedavg,clean_accuracy,6,0.8755000000000001,0.053436878651358356,0.8194214350584678,0.9315785649415323
mnist,backdoor_model_replacement,hfl_fedavg,macro_f1,6,0.8685317813474202,0.06519820263470731,0.800110463845398,0.9369530988494423
mnist,backdoor_model_replacement,hfl_fedavg,attack_success_rate,6,0.9865069320140661,0.028302305056757727,0.9568054843962962,1.016208379631836
mnist,backdoor_model_replacement,hfl_fltrust,clean_accuracy,6,0.9225000000000002,0.010559356040971447,0.9114186354362538,0.9335813645637466
mnist,backdoor_model_replacement,hfl_fltrust,macro_f1,6,0.9211411745164625,0.010948028055836365,0.9096519236880867,0.9326304253448383
mnist,backdoor_model_replacement,hfl_fltrust,attack_success_rate,6,0.35538686757704746,0.27383884008806647,0.06801062920085327,0.6427631059532417
mnist,backdoor_model_replacement,hfl_rfa,clean_accuracy,6,0.9226666666666667,0.020146132796809067,0.901524596903618,0.9438087364297155
mnist,backdoor_model_replacement,hfl_rfa,macro_f1,6,0.9216569762850727,0.020365883601454783,0.9002842921957329,0.9430296603744125
mnist,backdoor_model_replacement,hfl_rfa,attack_success_rate,6,0.9033174766456339,0.1989193835219957,0.6945643861115136,1.1120705671797542
mnist,backdoor_model_replacement,hfl_trimmed_mean,clean_accuracy,6,0.9036666666666667,0.04296355044298209,0.8585791856153324,0.948754147718001
mnist,backdoor_model_replacement,hfl_trimmed_mean,macro_f1,6,0.8999354134812311,0.04698144935501686,0.8506314061141081,0.949239420848354
mnist,backdoor_model_replacement,hfl_trimmed_mean,attack_success_rate,6,0.9970388599178098,0.0022954845059391287,0.9946298966664483,0.9994478231691714
mnist,backdoor_model_replacement,tierguard,clean_accuracy,6,0.9313333333333333,0.0100332779621949,0.9208040538548231,0.9418626128118436
mnist,backdoor_model_replacement,tierguard,macro_f1,6,0.9303111155787859,0.009898990333816481,0.919922762323493,0.9406994688340787
mnist,backdoor_model_replacement,tierguard,attack_success_rate,6,0.3654923267658357,0.29490951303647517,0.05600377324098921,0.6749808802906823
